Subregion,Location type,Capacity (m3/d),Unit size (m3/d),Technology,Membrane type (RO),Feedwater,Customer type,Industry,Customer,Plant type,Plant supplier,Plant supplier share,Procurement model,EPC price,Product water salinity,EPC contractor (desal),Equipment supplier : Membranes (Not specified / Other),Holding Company,RO System,RO Feed Pump Drive,RO Membrane Type,RO Pre Treament 1st Stage,Pretreatment
North America,Mobile,54400,136,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,Army Corps,Stand-alone,SFA US,100,EPC,"56,840,000 USD",,SFA US,,SFA US,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,26495,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Arkansas City,,H2O Innovation,,DB,"16,815,905 USD",,H2O Innovation,,H2O Innovation,,,,,  
North America,Land based,22710,7570,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,SAWPA,Stand-alone,Hydranautics,100,EPC,"3,600,000 USD",,Hydranautics,,Nitto Denko Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,22710,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Antioch,,,,,"110,000,000 USD",,,,,,,,,  
North America,Land based,18925,3154.17,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,"City of Altus, Oklahoma",Stand-alone,"Indeck Energy Services, Inc.",100,EPC,"14,250,000 USD",,"Indeck Energy Services, Inc.",,"Indeck Energy Services, Inc.",Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,11355,5677.5,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Universal Aqua Technologies, Inc.",100,EPC,"14,080,000 USD",,"Universal Aqua Technologies, Inc.",Hydranautics,Severn Trent Plc,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,11355,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Alice Water Authority,,,,BOOT,"17,000,000 USD",,,,,,,,,  
North America,Land based,8175,8175,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,AT&T,Stand-alone,,,EPC,"4,710,000 USD",,,,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,4209,1403,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"3,000,000 USD",,Nomura Micro Science,,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,4090,1363.33,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"3,270,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,3693,1231,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"2,650,000 USD",,Nomura Micro Science,,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,3450,1725,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"2,430,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,3410,1136.67,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,,Stand-alone,Graver Water Systems,100,EPC,"3,440,000 USD",,Graver Water Systems,Dow Filmtec (now Dupont Water Solutions),Graver Water Systems,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,3120,780,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"2,280,000 USD",,Nomura Micro Science,,Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,3050,762.5,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"2,230,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,2861,2861,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,IBM Corporation,Stand-alone,Koch Membrane Systems,100,EPC,"2,720,000 USD",,Koch Membrane Systems,Koch Membrane Systems,Koch Industries Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,2725,2725,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,Intel Corporation,Stand-alone,Siemens Water Technologies  ,100,EPC,"2,600,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,2452,2452,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Aledo,Stand-alone,Harn R/O Systems Inc.,100,EPC,"2,360,000 USD",,Harn R/O Systems Inc.,,Harn R/O Systems Inc.,Single Pass,Electric Motor,,,  
North America,Land based,2180,2180,RO (Reverse Osmosis),,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),Power,,Stand-alone,"Ionics, Inc. ",100,EPC,"1,700,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,,,  
North America,Land based,1890,1890,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,Western Electric,Stand-alone,Vaponics Ltd ,100,EPC,"1,860,000 USD",,Vaponics Ltd ,,Vaponics Ltd ,Single Pass,Electric Motor,,,  
North America,Land based,1650,825,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"1,200,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1650,1650,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"1,170,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1650,1650,RO (Reverse Osmosis),,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"1,170,000 USD",,"Ionics, Inc. ",,Suez ,,,,,  
North America,Land based,1635,1635,RO (Reverse Osmosis),,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),Power,Southern California Edison,Stand-alone,Siemens Water Technologies  ,100,IWP,"1,300,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,1633,1633,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,SIGNETICS,Stand-alone,Siemens Water Technologies  ,100,EPC,"1,620,000 USD",,Siemens Water Technologies (now Evoqua),,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,1514,1514,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Municipality,Stand-alone,Siemens Water Technologies  ,100,EPC,"1,510,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,1210,605,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"890,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1152,1152,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"1,160,000 USD",,"Ionics, Inc. ",Dow Filmtec (now Dupont Water Solutions),Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1140,1140,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"820,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1090,545,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"900,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1090,545,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"900,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,1090,1090,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Aqua Media  ,100,EPC,"1,100,000 USD",,Aqua Media  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,1090,1090,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Siemens Water Technologies  ,100,EPC,"1,100,000 USD",,Siemens Water Technologies  ,DuPont (now Dupont Water Solutions),"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,980,980,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,Western Electric,Stand-alone,Siemens Water Technologies  ,100,EPC,"990,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,820,820,RO (Reverse Osmosis),,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"600,000 USD",,"Ionics, Inc. ",,Suez ,,,,,  
North America,Land based,818,818,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),General,Sandia Laboratories,Stand-alone,Pure Solutions ,100,EPC,"830,000 USD",,Pure Solutions,,Suez ,Single Pass,Electric Motor,,,  
North America,Land based,818,818,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,Western Electric,Stand-alone,Siemens Water Technologies  ,100,EPC,"830,000 USD",,Siemens Water Technologies (now Evoqua),DuPont (now DowDuPont),"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,763,763,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,Motorola,Stand-alone,Siemens Water Technologies  ,100,EPC,"780,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,757,757,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,Motorola,Stand-alone,Siemens Water Technologies  ,100,EPC,"770,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,731,731,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Siemens Water Technologies  ,100,EPC,"750,000 USD",,Siemens Water Technologies  ,DuPont (now Dupont Water Solutions),"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,700,700,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"510,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,655,655,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,Western Electric,Stand-alone,Siemens Water Technologies  ,100,EPC,"670,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,650,650,RO (Reverse Osmosis),,Wastewater,Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,Veolia HPD ,100,EPC,"950,000 USD",,Veolia HPD ,,Veolia,,,,,  
North America,Land based,645,645,RO (Reverse Osmosis),Hollow Fibre Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"530,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,600,600,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"440,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,570,570,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"420,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,550,550,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"400,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,545,545,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"400,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,545,545,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Aqua Media  ,100,EPC,"560,000 USD",,Aqua Media  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,545,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Applied Water Management  Group,Stand-alone,Layne Christensen Company,100,EPC,"204,190 USD",0,Layne Christensen Company,,Granite Construction,,,,,  
North America,Land based,490,490,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Water & Power,100,EPC,"400,000 USD",,Water & Power,Koch Membrane Systems,Water & Power,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,463,463,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Siemens Water Technologies  ,100,EPC,"480,000 USD",,Siemens Water Technologies  ,DuPont (now Dupont Water Solutions),"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,463,463,RO (Reverse Osmosis),Hollow Fibre Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Siemens Water Technologies  ,100,EPC,"380,000 USD",,Siemens Water Technologies  ,DuPont (now Dupont Water Solutions),"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,440,220,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"330,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,435,435,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Owens-Illinois,Stand-alone,Preussag Wassertechnik(PWT),100,EPC,"450,000 USD",,Preussag Wassertechnik(PWT),DuPont (now Dupont Water Solutions),Amiantit Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,416,416,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,Preton,Stand-alone,"Waterlink, Inc.",100,EPC,"310,000 USD",,"Waterlink, Inc.",Dow Filmtec (now Dupont Water Solutions),Xylem Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Mobile,408,136,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Demonstration,,United States Army,Stand-alone,"Aqua-Chem, Inc.",100,EPC,"430,000 USD",,"Aqua-Chem, Inc.",,"Aqua-Chem, Inc.",Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,378,189,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Power,Power Station ,Stand-alone,Continental Products,100,EPC,"390,000 USD",,Continental Products,,Continental Products,Single Pass,Electric Motor,,,  
North America,Land based,354,354,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Northborough,Stand-alone,"Hydropro, Inc.",100,EPC,"370,000 USD",,"Hydropro, Inc.",,"Hydropro, Inc.",Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,354,354,RO (Reverse Osmosis),,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"260,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,,,,,  
North America,Land based,330,165,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"250,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,330,110,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"250,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,327,327,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Factory,Stand-alone,WaterPro Inc.,100,IWP,"340,000 USD",,WaterPro Inc.,,WaterPro Inc.,Single Pass,Electric Motor,,,  
North America,Land based,303,303,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,EMCO Group,100,EPC,"310,000 USD",,EMCO Group,,EMCO Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,303,303,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Envirogenics,100,EPC,"310,000 USD",,Envirogenics,Envirogenics,Envirogenics,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,300,300,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"220,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,273,273,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,TEXAS INSTRUMENTS,Stand-alone,Koch Membrane Systems,100,EPC,"280,000 USD",,Koch Membrane Systems,Koch Membrane Systems,Koch Industries Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,272,272,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Water & Power,100,EPC,"230,000 USD",,Water & Power,Koch Membrane Systems,Water & Power,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,265,265,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,General Electric Group (GE),Stand-alone,Envirogenics,100,EPC,"280,000 USD",,Envirogenics,Envirogenics,Envirogenics,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,220,220,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Electronics,TEXAS INSTRUMENTS,Stand-alone,Koch Membrane Systems,100,EPC,"230,000 USD",,Koch Membrane Systems,Koch Membrane Systems,Koch Industries Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,189,189,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Siemens Water Technologies  ,100,EPC,"200,000 USD",,Siemens Water Technologies  ,DuPont (now Dupont Water Solutions),"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,Hollow Fibre Membrane,,  
North America,Land based,165,165,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"140,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,165,165,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"120,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,165,165,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"120,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,163,163,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Bell,Stand-alone,Siemens Water Technologies  ,100,EPC,"170,000 USD",,Siemens Water Technologies (now Evoqua),,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
North America,Land based,150,150,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"110,000 USD",,"Ionics, Inc. ",,Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,137,137,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,"Ionics, Inc. ",100,EPC,"140,000 USD",,"Ionics, Inc. ","Ionics, Inc. ",Suez ,Single Pass,Electric Motor,Spiral Wound Membrane,,  
North America,Land based,136,136,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Aqua Media  ,100,EPC,"140,000 USD",,Aqua Media  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,45460,,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Federal Electricity & Water Authority (FEWA),Stand-alone,Cadagua,50,EPC,"51,500,000 USD",,Cadagua,,Ferrovial,,,,,"Dissolved Air Flotion (DAF),Ultrafiltration  "
Middle East / North Africa,Land based,13650,4550,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Federal Electricity & Water Authority (FEWA),Stand-alone,Aqua EPC L.L.C.,100,EPC,"12,300,000 USD",,Aqua EPC L.L.C.,,Ovivo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,4546,,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Abu Dhabi Water and Electricity Authority (now Department of Energy),Stand-alone,Aqua Engineering GmbH  ,100,EPC,"5,000,000 USD",450,Aqua Engineering GmbH  ,,Ovivo,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,3785,3785,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Abu Dhabi Water and Electricity Authority (now Department of Energy),Stand-alone,Arocon,100,EPC,"8,900,000 USD",,Arocon,Koch Membrane Systems,Arocon,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,401,200.5,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),,,Stand-alone,Envirogenics,100,EPC,"1,070,000 USD",,Envirogenics,Envirogenics,Envirogenics,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Mobile,400,100,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,,,EPC,"420,000 USD",,,Koch Membrane Systems,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Mobile,400,100,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,,,EPC,"420,000 USD",,,Koch Membrane Systems,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
